时段（北京时间）,曝光,点击,转化,消耗（元）,转化价值（元）,CTR（%）,CVR（%）,平均点击成本（元）,平均转化成本（元）,缺少结算凭据的曝光
2026-09-09 00:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 01:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 02:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 03:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 04:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 05:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 06:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 07:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 08:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 09:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 10:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 11:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 12:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 13:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 14:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 15:00:00,8,1,1,0.4000,5.0000,12.5000,100.0000,0.4000,0.4000,0
2026-09-09 16:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 17:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 18:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 19:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 20:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 21:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 22:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-09-09 23:00:00,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
