procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  0      0 13456164 355116 615664    0    0   133  2670 7347    9  2  2 95  1  0  0 2026-09-08 15:04:49
 0  0      0 13449164 355428 639156    0    0     0  1896 8423 13114  0  3 95  2  0  0 2026-09-08 15:04:50
 0  1      0 13420756 357772 647332    0    0    16 11392 45099 78495 10 12 71  7  0  0 2026-09-08 15:04:51
 1  0      0 13406548 360468 651144    0    0     4 13808 47335 82668 11 13 68  8  0  0 2026-09-08 15:04:52
 0  1      0 13403156 363244 654540    0    0     0 14944 46388 80750 11 12 69  8  0  0 2026-09-08 15:04:53
 1  1      0 13399464 365920 657692    0    0     8 14376 45414 78618 11 12 69  8  0  0 2026-09-08 15:04:54
 0  2      0 13392380 368456 664156    0    0    16 17364 43780 75872 12 12 68  8  0  0 2026-09-08 15:04:55
 2  1      0 13387328 371120 667428    0    0    20 14700 47061 82316 11 12 69  8  0  0 2026-09-08 15:04:56
 4  1      0 13380760 373432 672752    0    0    16 17804 44120 77133 10 11 70  9  0  0 2026-09-08 15:04:57
 3  1      0 13374564 376184 677088    0    0    20 18220 46484 80962 11 11 70  8  0  0 2026-09-08 15:04:58
 6  1      0 13368784 378600 681188    0    0     4 17164 44209 76515 12 13 66  8  0  0 2026-09-08 15:04:59
 2  1      0 13363856 381112 685388    0    0    48 17552 45780 79404 13 13 66  8  0  0 2026-09-08 15:05:00
 3  1      0 13357700 383768 688580    0    0    84 16904 45900 79730 12 13 67  8  0  0 2026-09-08 15:05:01
 7  2      0 13352824 386420 692008    0    0    16 17004 44885 78095 11 11 69  8  0  0 2026-09-08 15:05:02
 0  2      0 13342568 389096 696404    0    0     4 18420 46810 81557 10 12 69  9  0  0 2026-09-08 15:05:03
 1  1      0 13334064 391700 701992    0    0    72 18908 45289 78658 11 13 68  8  0  0 2026-09-08 15:05:04
 3  1      0 13326820 394340 705456    0    0    24 17332 45214 78691 11 12 69  9  0  0 2026-09-08 15:05:05
 0  1      0 13319680 397052 709676    0    0    52 18140 46227 80411 11 12 68  9  0  0 2026-09-08 15:05:06
 0  2      0 13314540 399764 713592    0    0    64 18172 46714 81245 10 12 69  9  0  0 2026-09-08 15:05:07
 2  1      0 13307704 402284 718140    0    0     4 18488 44197 76446 12 12 68  9  0  0 2026-09-08 15:05:08
 0  1      0 13301916 404964 722516    0    0    32 19172 44250 76742 10 11 70  9  0  0 2026-09-08 15:05:09
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  1      0 13295256 407692 726424    0    0   388 18092 45324 78671 10 11 70  9  0  0 2026-09-08 15:05:10
 0  1      0 13381528 410364 699228    0    0     0 16092 22025 36159  5  8 79  9  0  0 2026-09-08 15:05:11
 0  1      0 13376552 412804 701324    0    0     4 14744 16478 26491  4  5 83  9  0  0 2026-09-08 15:05:12
 0  1      0 13374468 415372 704000    0    0     0 15392 17169 27813  4  7 82  8  0  0 2026-09-08 15:05:13
 0  1      0 13369416 417900 707648    0    0     4 16252 17391 28207  4  6 82  8  0  0 2026-09-08 15:05:14
 0  1      0 13362820 420428 712168    0    0     0 16696 17224 27962  4  6 82  8  0  0 2026-09-08 15:05:15
 0  0      0 13359308 422644 714724    0    0     0 13872 16265 25900  4  5 83  7  0  0 2026-09-08 15:05:16
 0  0      0 13356468 423348 715788    0    0     0  7300 5929 8282  2  2 92  3  0  0 2026-09-08 15:05:17
 1  0      0 13354964 423988 716648    0    0     0  6728 5480 7667  2  1 93  3  0  0 2026-09-08 15:05:18
 5  0      0 13284128 424668 716560    0    0     0  5964 10335 15943  8  6 84  2  0  0 2026-09-08 15:05:19
 0  0      0 13189368 425100 717028    0    0     0  4576 8186 11682 14  6 79  2  0  0 2026-09-08 15:05:20
 1  0      0 13324316 426084 717076    0    0     0  8548 25445 45718  2  7 87  4  0  0 2026-09-08 15:05:21
 0  0      0 13324100 426412 717116    0    0     0  3312 35215 65523  4  8 87  1  0  0 2026-09-08 15:05:22
 0  0      0 13323596 427676 717192    0    0     0  9156 13630 23083  1  4 91  4  0  0 2026-09-08 15:05:23
 5  1      0 13271432 429276 747532    0    0    16  7676 29845 50496  6  9 80  5  0  0 2026-09-08 15:05:24
 0  1      0 13255060 432036 748656    0    0     0 13308 39895 69065  9 10 73  8  0  0 2026-09-08 15:05:25
 3  1      0 13251788 434772 750152    0    0    32 14956 40587 70279  8 10 73  9  0  0 2026-09-08 15:05:26
 0  1      0 13244704 437500 753680    0    0    64 19336 39796 68830  7 10 74  9  0  0 2026-09-08 15:05:27
 0  1      0 13236956 440228 756156    0    0    16 17580 40033 68912  8 10 73  9  0  0 2026-09-08 15:05:28
 5  1      0 13232656 443004 758524    0    0     0 17780 40332 69687  7 10 73  9  0  0 2026-09-08 15:05:29
 2  1      0 13228868 445604 759808    0    0     0 16132 39040 67226  8 10 73  9  0  0 2026-09-08 15:05:30
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  1      0 13215060 448308 771092    0    0    20 25972 39143 67206  7 10 74  9  0  0 2026-09-08 15:05:31
 3  1      0 13209756 450996 773460    0    0     0 17656 39885 68763  8 10 72  9  0  0 2026-09-08 15:05:32
 0  1      0 13203708 453692 774796    0    0    16 16868 41079 70911  8 10 72  9  0  0 2026-09-08 15:05:33
 1  1      0 13199412 456388 777160    0    0    16 17384 39845 68692  7 11 73  9  0  0 2026-09-08 15:05:34
 0  1      0 13194636 459052 779084    0    0   368 16556 40419 69867  8 10 72  9  0  0 2026-09-08 15:05:35
 0  1      0 13188652 461804 780400    0    0    16 16796 40196 69624  8 11 72  9  0  0 2026-09-08 15:05:36
 4  1      0 13183696 464556 782784    0    0    32 18328 39969 68857  9 10 72  9  0  0 2026-09-08 15:05:37
 2  1      0 13180940 467284 784172    0    0    16 17564 39445 67891  8 11 72  9  0  0 2026-09-08 15:05:38
 0  2      0 13174200 470004 785628    0    0     0 17912 40059 69137  9 10 71  9  0  0 2026-09-08 15:05:39
 0  2      0 13168924 472708 786920    0    0     0 17916 41325 71428  9 11 71  9  0  0 2026-09-08 15:05:40
 2  1      0 13163128 475420 788212    0    0     0 17488 40163 69380  9 11 71  9  0  0 2026-09-08 15:05:41
 0  1      0 13158412 478076 790328    0    0   664 17584 39749 68441  8 10 73  9  0  0 2026-09-08 15:05:42
 1  0      0 13152548 480772 794544    0    0  1808 18808 39792 68624  9 11 71  9  0  0 2026-09-08 15:05:43
 0  1      0 13230592 483380 766820    0    0     0 17604 28339 47727  7  9 76  9  0  0 2026-09-08 15:05:44
 0  0      0 13230020 485508 767684    0    0     0 13732 14890 23908  4  5 83  7  0  0 2026-09-08 15:05:45
 1  0      0 13221628 486276 768276    0    0     0  7940 8023 11912  3  4 90  3  0  0 2026-09-08 15:05:46
 2  0      0 13103944 486764 768328    0    0     0  6072 10301 15213 14  7 76  2  0  0 2026-09-08 15:05:47
 1  0      0 13190688 487580 768324    0    0     0  6208 14245 23966  5  5 87  3  0  0 2026-09-08 15:05:48
 0  0      0 13193012 488052 768340    0    0     0  5000 36541 67984  4  9 86  2  0  0 2026-09-08 15:05:49
 0  0      0 13194592 488996 768404    0    0     0  6012 22667 40693  2  6 88  3  0  0 2026-09-08 15:05:50
 2  1      0 13141676 489972 798400    0    0     0  6344 16543 26947  2  4 89  4  0  0 2026-09-08 15:05:51
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  2      0 13128808 492596 800536    0    0     0 16044 41358 71506  8 11 73  9  0  0 2026-09-08 15:05:52
